Type,Type_Rowe,Reference,Authors,Year,Title,Journal,Issue,Number,Start,End,Extra,Link_Abstract,Link_PDF,Citations on G Scholar,Abstract_text,Keywords
Critical,Understanding,"Jones, M. R., & Karsten, H. (2008). Giddens’s structuration theory and information systems research. MIS Quarterly, 32(1), 127–157.","Jones, M. R., & Karsten, H. ",2008, Giddens’s structuration theory and information systems research,MIS Quarterly,32,1,127,157,,,https://www.researchgate.net/profile/Helena_Karsten/publication/31597829_Review_Giddens's_Structuration_Theory_and_Information_Systems_Research/links/556c406308aeccd7773a411a.pdf,,"The  work  of  the  contemporary  British  sociologist  Anthony Giddens, and in particular his structuration theory, has been widely cited by Information Systems researchers.  This paperpresents  a  critical  review  of  the  work  of  Giddens  and  itsapplication  in  the  Information  Systems  field.    Following  abrief  overview  of  Giddens’s  work  as  a  whole,  some  keyaspects of structuration theory are described, and their impli-cations for Information Systems research discussed.  We then identify 331 Information Systems articles published between 1983 and 2004 that have drawn on Giddens’s work and analyze their use of structuration theory.  Based on this analysis a number of features of structurational research in the Information Systems field and its relationship to Giddens’s ideas are  discussed.    These  findings  offer  insight  on  Information Systems  researchers’  use  of  social  theory  in  general  and suggest  that  there  may  be  significant  opportunities  for  the Information   Systems   field   in   pursuing   structurational research  that  engages  sympathetically,  yet  critically,  with Giddens’s work.",
Critical,Understanding,"Keutel, M., Michalik, B., & Richter, J. (2014). Towards mindful case study research in IS: A critical analysis of the past ten years. European Journal of Information Systems, 23(3), 256–272. ","Keutel, M., Michalik, B., & Richter, J. ",2014, Towards mindful case study research in IS: A critical analysis of the past ten years,European Journal of Information Systems,23,3,256,272,,https://orsociety.tandfonline.com/doi/abs/10.1057/ejis.2013.26,https://kups.ub.uni-koeln.de/9037/1/EJIS%20R4-Towards_Mindful_Case_Study_Research_in_IS.pdf,,"Case study research (CSR) has gained strong acceptance in information systems (IS) research in the recent decades. This article examines how CSR has been used in IS research practice. Contrasting the currently used CSR approaches to methodological prescriptions can lead to recommendations for researchers applying this research strategy as well as to advances in the methodological literature. Our study design comprises two steps. First, we identified case studies published in six major IS journals from 2001 to 2010. Second, we critically examined CSR practices in the identified studies. We observed a dualism, as CSR currently consists of a positivist and an equally strong interpretive research stream. Case studies with other philosophical underpinnings were rarely found. We describe the CSR practice and contrast it to the methodological prescriptions. Thereby, we clearly point out the shortcomings, aiming to initiate a debate on how our community should further develop its use of CSR to become more mindful. This study is the first broad examination of CSR in IS (focusing on more than just the positivist research stream) and thus contributes to the methodological literature by providing recommendations for improvements.",
Critical,Understanding,"Petter, S., Straub, D., & Rai, A. (2007). Specifying formative constructs in information systems research. MIS Quarterly, 31(4), 623–656.","Petter, S., Straub, D., & Rai, A. ",2007, Specifying formative constructs in information systems research,MIS Quarterly,31,4,623,656,,,https://scholarworks.gsu.edu/cgi/viewcontent.cgi?article=1041&context=cis_facpub,,"While  researchers  go  to  great  lengths  to  justify  and  provetheoretical links between constructs, the relationship betweenmeasurement  items  and  constructs  is  often  ignored.    By default,  the  relationship  between  construct  and  item  isassumed to be reflective, meaning that the measurement items are  a  reflection  of  the  construct.    Many  times,  though,  the nature of the construct is not reflective, but rather formative. Formative  constructs  occur  when  the  items  describe  and define the construct rather than vice versa. In this research, we examine whether formative constructs are indeed being mistaken for reflective constructs by information systems researchers.  By examining complete volumes of MIS Quarterly and Information Systems Research over the last 3 years,  we  discovered  that  a  significant  number  of  articles have indeed misspecified formative constructs.  For scientific results to be valid, we argue that researchers must properly specify   formative   constructs.   This   paper   discusses   the implications of different patterns of common misspecifications of formative constructs on both Type I and Type II errors.  To avoid   these   errors,   the   paper   provides   a   roadmap   to researchers to properly specify formative constructs.  We also discuss how to address formative constructs within a research model after they are specified  ",
Critical,Understanding,"Richardson, H., & Robinson, B. (2007). The mysterious case of the missing paradigm: A review of critical information systems research 1991–2001. Information Systems Journal, 17(3), 251–270. ","Richardson, H., & Robinson, B. ",2007, The mysterious case of the missing paradigm: A review of critical information systems research 1991–2001,Information Systems Journal,17,3,251,270,,,https://s3.amazonaws.com/academia.edu.documents/51395845/j.1365-2575.2007.00230.x20170117-17624-1qmpij1.pdf?response-content-disposition=inline%3B%20filename%3DThe_mysterious_case_of_the_missing_parad.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20191213%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20191213T120048Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=09f63ed18ccf25b7bf8404b9502caa221007a4f509d431c52e04f535f84fce3d,,"In this journal, Chen and Hirschheim have provided a historical analysis of   positivist  and  interpretivist  research  paradigms  and  methodologies  in  the 10 years following the much cited work of  Orlikowski and Baroudi. In this paper, we investigate  the  mysterious  case  of   the  missing  paradigm  –  that  of   the  critical approach to information systems (IS) research. We take Chen and Hirschheim’ssurvey as our starting point and aim to fill the gap left by the absence of  the critical paradigm in their analysis and make some criticisms of  their method. Recent years have seen the growth of  IS research that consciously adopts a critical perspective. This paper charts the development of  critical IS research over the period of  1991–2001, adding some comments on more recent developments. We conclude by critically reflecting on the current development of  critical research in the field of  IS. ",
Critical,Understanding,"Roberts, N., Galluch, P. S., Dinger, M., & Grover, V. (2012). Absorptive capacity and information systems research: Review, synthesis, and directions for future research. MIS Quarterly, 36(2), 625–648. ","Roberts, N., Galluch, P. S., Dinger, M., & Grover, V. ",2012," Absorptive capacity and information systems research: Review, synthesis, and directions for future research",MIS Quarterly,36,2,625,648,,,http://www.ucipfg.com/Repositorio/MATI/MATI-10/BLOQUE-ACADEMICO/Unidad-04/lecturas/2.pdf,,"Absorptive capacity is a firm’s ability to identify, assimilate, transform, and apply valuable external knowledge. It is considered an imperative for business success.  Modern information technologies perform a critical rolein the development and maintenance of a firm’s absorptive capacity.  We provide an assessment of absorptive capacity in the information systems literature.  IS scholars have used the absorptive capacity construct indiverse and often contradictory ways.  Confusion surrounds how absorptive capacity should be conceptualized,its appropriate level of analysis, and how it can be measured.  Our aim in reviewing this construct is to reduce such  confusion  by  improving  our  understanding  of  absorptive  capacity  and  guiding  its  effective  use  in  ISresearch.  We trace the evolution of the absorptive capacity construct in the broader organizational literature and pay special attention to its conceptualization, assumptions, and relationship to organizational learning. Following this, we investigate how absorptive capacity has been conceptualized, measured, and used in IS research.  We also examine how absorptive capacity fits into distinct IS themes and facilitates understanding of various IS phenomena.  Based on our analysis, we provide a framework through which IS researchers can more  fully  leverage  the  rich  aspects  of  absorptive  capacity  when  investigating  the  role  of  information technology in organizations.",
Critical,Understanding,"Schryen, G. (2013). Revisiting IS business value research: What we already know, what we still need to know, and how we can get there. European Journal of Information Systems, 22(2), 139–169. ","Schryen, G. ",2013," Revisiting IS business value research: What we already know, what we still need to know, and how we can get there",European Journal of Information Systems,22,2,139,169,,,https://epub.uni-regensburg.de/23082/1/EJIS%20-%20JOURNAL%20VERSION.pdf,,"The business value of investments in Information Systems (IS) has been, and ispredicted to remain, one of the major research topics for IS researchers. While the vast majority of research papers on IS business value find empirical evidence in favour of both the operational and strategic relevance of IS, the fundamental question of the causal relationship between IS investments and business value remains partly unexplained. Three research tasks are essential requisites on the path towards addressing this epistemological question: the synthesis of existing knowledge, the identification of a lack of knowledge and the proposition of paths for closing the knowledge gaps. This paper considers each of these tasks. Research findings include that correlations between IS investments and productivity vary widely among companies and that the mismeasurement of IS investment impact may be rooted in delayed effects. Key limitations of current research are based on the ambiguity and fuzziness of IS business value, the neglected disaggregation of IS investments, and the unexplained process of creating internal and competitive value. Addressing the limitations we suggest research paths, such as the identification of synergy opportunities of IS assets, and the explanation of relationships between IS innovation and change in IS capabilities.",
Descriptive,Describing,"Akhlaghpour, S., Wu, J., Lapointe, L., & Pinsonneault, A. (2013). The ongoing quest for the IT artifact: Looking back, moving forward. Journal of Information Technology, 28(2), 150–166. ","Akhlaghpour, S., Wu, J., Lapointe, L., & Pinsonneault, A. ",2013," The ongoing quest for the IT artifact: Looking back, moving forward",Journal of Information Technology,28,2,150,166,,https://journals.sagepub.com/doi/abs/10.1057/jit.2013.10,,,"More than 10 years ago, Orlikowski and Iacono (2001) examined the conceptualization of Information Technology (IT) in Information Systems Research (ISR) articles published in the 1990s. Their main conclusion was that the majority of these articles did not properly conceptualize the IT artifact. They recommended that IS researchers start to theorize about the IT artifact and employ rich conceptualizations of IT. The Orlikowski and Iacono paper provides a strong anchor point from which to analyze the evolution of the IS discipline. In order to obtain an up-to-date image of contemporary IS research, and to assess how the IS field has evolved since the 1990s, we carried out a similar analysis on a more recent and broader set of articles, that is, the full set (N = 644) of papers published between 2006 and 2009 by six top North American (ISR, MISQ, JAIS) and European (JIT, ISJ, EJIS) journals. The statistics in our results reveal no drastic advance in terms of deeper engagement with the IT artifact; more than 39% of the articles in our set are virtually mute about the artifact, and less than 16% employ an ensemble view of IT. Moreover, we note differences among the North American and European journals. Implications of the findings for two perspectives central to the IS research legitimacy debate are discussed.",
Descriptive,Describing,"Arnott, D., & Pervan, G. (2012). Design science in decision support systems research: An assessment using the Hevner, March, Park, and Ram Guidelines. Journal of the Association for Information Systems, 13(11), 923–949.","Arnott, D., & Pervan, G. ",2012," Design science in decision support systems research: An assessment using the Hevner, March, Park, and Ram Guidelines",Journal of the Association for Information Systems,13,11,923,949,,,https://www.researchgate.net/profile/David_Arnott/publication/286316946_Design_Science_in_Decision_Support_Systems_Research_An_Assessment_using_the_Hevner_March_Park_and_Ram_Guidelines/links/568b353308ae051f9afa91db.pdf,,"Design  science  has  been  an  important  strategy  in  decision  support  systems  (DSS)  research  since  the  field’sinception in the early 1970s. Recent reviews of DSS research have indicated a need to improve its quality and relevance.  DSS  design-science  research  has  an  important  role  in  this  improvement  because design-science research can engage industry and the profession in intellectually important projects. The  Hevner,  March,  Park,  and Ram’s (HMPR) guidelines for the conduct and assessment of information systems design-science research, published  in  MIS  Quarterly  in  2004,  provides  a  vehicle  for  assessing  DSS  design-science  research.  This  paper  presents  research  that  used  bibliometric  content  analysis  to  apply  the  HMPR  guidelines  to  a  representative  sample  of  362  DSS  design-science  research  papers  in  14  journals.  The  analysis  highlights  major  issues  in  DSS  research that need attention: research design, evaluation, relevance, strategic focus, and theorizing.",
Descriptive,Describing,"Arnott, D., & Pervan, G. (2014). A critical analysis of decision support systems research revisited: The rise of design science. Journal of Information Technology, 29(4), 269–293.","Arnott, D., & Pervan, G. ",2014, A critical analysis of decision support systems research revisited: The rise of design science,Journal of Information Technology,29,4,269,293,,https://journals.sagepub.com/doi/10.1057/jit.2014.16,,,"In 2005 the Journal of Information Technology article ‘A critical analysis of decision support systems research’ analyzed 1020 decision support systems (DSS) articles from 1990 to 2003. Since 2003 business intelligence (BI) and business analytics have gained popularity in practice. In theory and research the period since 2003 has seen a change in the decision-making theory orthodoxy and the codification and acceptance of design science. To investigate the changes in the DSS field, a number of expectations were derived from previous literature analyses. These expectations were assessed using bibliometric content analysis. The article sample to 2010 now includes 1466 articles from 16 journals. The analysis of the expectations yields mixed results for the DSS field. On the negative side, there has been an overall decline in DSS publishing, the relevance of DSS research published in journals to IT professionals has declined, and the rigor of DSS research designs has not improved. On the positive side, there has been improvement in relevance to managers, grant funding of DSS research has increased, there has been a positive shift in judgment and decision-making foundations, BI publishing has increased, and group support systems publishing has reduced to a more balanced level. An important result from the analysis of the last 7 years of DSS research is the significant increase in DSS design-science research (DSR) to almost half of published articles. It is clear from the analysis that DSS is undergoing a transition from a field based on statistical hypothesis testing and conceptual studies to one where DSR is the most popular method.",
Descriptive,Describing,"Avison, D. E., Dwivedi, Y. K., Fitzgerald, G., & Powell, P. (2008). The beginnings of a new era: Time to reflect on 17 years of the ISJ. Information Systems Journal, 18(1), 5–21.","Avison, D. E., Dwivedi, Y. K., Fitzgerald, G., & Powell, P. ",2008, The beginnings of a new era: Time to reflect on 17 years of the ISJ,Information Systems Journal,18,1,5,21,,,https://s3.amazonaws.com/academia.edu.documents/47806102/j.1365-2575.2007.00282.x20160804-3340-1sxxva5.pdf?response-content-disposition=inline%3B%20filename%3DThe_beginnings_of_a_new_era_time_to_refl.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20191212%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20191212T065925Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=0db9ee012506e54e23d92169a4132bbacebc65a92d7d28b76b2d99c10d00e5d1,,"In this paper we reflect on the first 17 years of the Information Systems Journal (ISJ). The reflections are considered under three headings: origin ofpapers (authors, geographical period, gender and departments), research paradigms  (positive / interpretive,  qualitative / quantitative,  non-empirical / empirical,espoused theories and research method) and finally, topics. We find that throughout the period, the published papers evidenced a greater internationalization of the journal. On the other hand, some regions and countries are poorly represented. Another imbalance concerns the lack of practitioner papers along with an author-gender imbalance. Qualitative research exceeds quantitative research by a factor of more than 2:1. Interestingly, papers classified as descriptive / conceptual / theoretical have been largely superseded in the period by those that have some empirical evidence to illustrate the points made. Sometimes it is argued that the discipline of information systems lacks theory and thinking pieces but the ISJ suggests that this is far from the truth. Further, our analysis has revealed around 250 topics discussed using many research methods to explain the phenomena. Depending on the point of view, this may show that the discipline either lacks focus or is exciting and pluralistic. We lean to the latter view, but others have argued forfocusing on fewer topics and research methods ",
Descriptive,Describing,"Avison, D., & Fitzgerald, G. (2012). Reflections and opinions on 25 years with the ISJ. Information Systems Journal, 22(3), 179–193.","Avison, D., & Fitzgerald, G. ",2012, Reflections and opinions on 25 years with the ISJ,Information Systems Journal,22,3,179,193,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2575.2012.00403.x,,,"Reflecting on 25 years as editors of the Information Systems Journal (ISJ),  we  analyse  some  statistics  on  the ISJ over  this  period.  These  include  the origins  of  papers  published  in  terms  of  author  gender,  geographical  region  and academic  department,  the  type  of  research  in  terms  of  positivist  or  interpretive ( and  empirical,  critical  and  descriptive,  if  the  latter)  and  qualitative,  quantitative, mixed  or  descriptive,  research  method  and  research  category.  The  paper  also consists of personal reflections on the ISJ discussing issues such as motivation for journal editing, impact of research on practice (and vice versa) and loss of controlas the journal develops. We also use the ISJ lens to reflect on the discipline of IS as a whole. We hope therefore that this paper might also form part of a collection on  the  history  of  the  IS  discipline. ",
